Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend
1,393,2023-01-01 00:00:00,3472.0,Purchase,1.0,Excellent,3
2,826,2023-01-01 01:00:00,2481.5,Bill Payment,6.0,Needs improvement,3
2,826,2023-01-01 01:00:00,2481.5,Bill Payment,10.0,Good service,5
2,826,2023-01-01 01:00:00,2481.5,Bill Payment,6.0,Unsatisfactory,8
2,826,2023-01-01 01:00:00,2481.5,Bill Payment,3.0,Unsatisfactory,4
2,826,2023-01-01 01:00:00,2481.5,Bill Payment,3.0,Very satisfied,10
2,826,2023-01-01 01:00:00,2481.5,Bill Payment,9.0,Needs improvement,3
3,916,2023-01-01 02:00:00,10.0,Purchase,6.0,Needs improvement,3
3,916,2023-01-01 02:00:00,10.0,Purchase,1.0,Unsatisfactory,7
3,916,2023-01-01 02:00:00,10.0,Purchase,2.0,Good service,10
3,916,2023-01-01 02:00:00,10.0,Purchase,3.0,Unsatisfactory,7
3,916,2023-01-01 02:00:00,10.0,Purchase,1.0,Excellent,2
3,916,2023-01-01 02:00:00,10.0,Purchase,1.0,Needs improvement,1
3,916,2023-01-01 02:00:00,10.0,Purchase,5.0,Needs improvement,5
4,109,2023-01-01 03:00:00,72.0,Investment,3.0,Good service,9
4,109,2023-01-01 03:00:00,72.0,Investment,2.0,Needs improvement,5
4,109,2023-01-01 03:00:00,72.0,Investment,4.0,Good service,7
5,889,2023-01-01 04:00:00,1793.0,Investment,8.0,Very satisfied,3
5,889,2023-01-01 04:00:00,1793.0,Investment,3.0,Very satisfied,4
5,889,2023-01-01 04:00:00,1793.0,Investment,8.0,Good service,4
5,889,2023-01-01 04:00:00,1793.0,Investment,1.0,Good service,9
5,889,2023-01-01 04:00:00,1793.0,Investment,5.0,Good service,8
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,6.0,Unsatisfactory,8
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,1.0,Good service,10
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,8.0,Good service,4
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,8.0,Good service,7
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,2.0,Needs improvement,10
7,50,2023-01-01 06:00:00,235.0,Loan Payment,6.0,Unsatisfactory,4
7,50,2023-01-01 06:00:00,235.0,Loan Payment,3.0,Excellent,4
7,50,2023-01-01 06:00:00,235.0,Loan Payment,6.0,Good service,4
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,6.0,Needs improvement,3
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,1.0,Unsatisfactory,7
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,2.0,Good service,10
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,3.0,Unsatisfactory,7
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,1.0,Excellent,2
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,1.0,Needs improvement,1
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,5.0,Needs improvement,5
9,105,2023-01-01 08:00:00,854.0,Purchase,8.0,Good service,4
9,105,2023-01-01 08:00:00,854.0,Purchase,3.0,Unsatisfactory,2
9,105,2023-01-01 08:00:00,854.0,Purchase,9.0,Excellent,4
9,105,2023-01-01 08:00:00,854.0,Purchase,10.0,Very satisfied,10
9,105,2023-01-01 08:00:00,854.0,Purchase,4.0,Needs improvement,1
9,105,2023-01-01 08:00:00,854.0,Purchase,3.0,Needs improvement,6
9,105,2023-01-01 08:00:00,854.0,Purchase,1.0,Good service,4
9,105,2023-01-01 08:00:00,854.0,Purchase,6.0,Good service,2
9,105,2023-01-01 08:00:00,854.0,Purchase,10.0,Very satisfied,6
10,420,2023-01-01 09:00:00,2690.0,Investment,5.0,Good service,8
10,420,2023-01-01 09:00:00,2690.0,Investment,7.0,Good service,6
10,420,2023-01-01 09:00:00,2690.0,Investment,1.0,Good service,6
10,420,2023-01-01 09:00:00,2690.0,Investment,2.0,Needs improvement,2
10,420,2023-01-01 09:00:00,2690.0,Investment,10.0,Good service,9
11,373,2023-01-01 10:00:00,4129.0,Investment,6.0,Needs improvement,6
11,373,2023-01-01 10:00:00,4129.0,Investment,9.0,Good service,2
11,373,2023-01-01 10:00:00,4129.0,Investment,7.0,Good service,3
11,373,2023-01-01 10:00:00,4129.0,Investment,2.0,Unsatisfactory,9
11,373,2023-01-01 10:00:00,4129.0,Investment,5.0,Good service,3
11,373,2023-01-01 10:00:00,4129.0,Investment,4.0,Good service,2
12,27,2023-01-01 11:00:00,1244.0,Investment,6.0,Unsatisfactory,5
12,27,2023-01-01 11:00:00,1244.0,Investment,10.0,Needs improvement,5
12,27,2023-01-01 11:00:00,1244.0,Investment,9.0,Needs improvement,7
12,27,2023-01-01 11:00:00,1244.0,Investment,6.0,Unsatisfactory,1
12,27,2023-01-01 11:00:00,1244.0,Investment,3.0,Good service,7
13,968,2023-01-01 12:00:00,1994.0,Bill Payment,10.0,Needs improvement,4
13,968,2023-01-01 12:00:00,1994.0,Bill Payment,3.0,Needs improvement,1
14,800,2023-01-01 13:00:00,4266.0,Purchase,8.0,Very satisfied,10
15,769,2023-01-01 14:00:00,1288.0,Purchase,3.0,Excellent,2
15,769,2023-01-01 14:00:00,1288.0,Purchase,3.0,Needs improvement,7
15,769,2023-01-01 14:00:00,1288.0,Purchase,5.0,Unsatisfactory,8
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,10.0,Needs improvement,7
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,6.0,Good service,2
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,7.0,Needs improvement,1
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,4.0,Needs improvement,9
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,1.0,Good service,3
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,9.0,Good service,9
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,4.0,Good service,9
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,10.0,Unsatisfactory,3
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,7.0,Unsatisfactory,9
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,8.0,Needs improvement,10
17,649,2023-01-01 16:00:00,2561.0,Bill Payment,10.0,Unsatisfactory,2
17,649,2023-01-01 16:00:00,2561.0,Bill Payment,5.0,Good service,8
17,649,2023-01-01 16:00:00,2561.0,Bill Payment,1.0,Good service,2
